Modelo,Marca,Ano,KM,Preço,Carroceria
Jetta GLI,Volkswagen,2024,30000,250000,Sedan
Polo GTS,Volkswagen,2025,0,160000,Hatch
Audi A3,Audi,2020, 90000,190000,Sedan
Nivus,Volkswagen,2022,140000,100000,SUV
Pulse,Fiat, 2019,170000,86000,Hatch
Uno,Fiat, 2014,250000,35000,Hatch
Onix,Chevrolet,2023,70000,96000,Sedan
Tiggo 7,Caoa Chery,2022,55000,120000,SUV
Song,BYD,2025,1000,200000,SUV
Creta,Hyundai,2020,80000,90000,SUV
HB20,Hyundai,2021,70000,75000,Hatch
Corolla,Toyota,2019,100000,110000,Sedan
Civic,Honda,2020,90000,130000,Sedan
Renegade,Jeep,2018,110000,85000,SUV
Compass,Jeep,2022,40000,160000,SUV
Kwid,Renault,2023,10000,60000,Hatch
Mobi,Fiat,2022,35000,55000,Hatch
Argo,Fiat,2021,60000,70000,Hatch
Strada,Fiat,2024,2000,120000,Picape
Toro,Fiat,2020,95000,115000,Picape
Saveiro,Volkswagen,2019,130000,70000,Picape
Hilux,Toyota,2017,180000,180000,Picape
S10,Chevrolet,2021,70000,190000,Picape
Ranger,Ford,2020,100000,200000,Picape
Tracker,Chevrolet,2023,15000,125000,SUV
Kicks,Nissan,2019,90000,92000,SUV
HR-V,Honda,2018,100000,98000,SUV
Duster,Renault,2022,45000,90000,SUV
T-Cross,Volkswagen,2021,55000,115000,SUV
Virtus,Volkswagen,2020,80000,90000,Sedan
Cronos,Fiat,2023,20000,85000,Sedan
Yaris,Toyota,2022,30000,88000,Hatch
Fit,Honda,2017,120000,70000,Hatch
City,Honda,2021,50000,100000,Sedan
208,Peugeot,2023,10000,80000,Hatch
C4 Cactus,Citroën,2020,70000,82000,SUV
Kardian,Renault,2025,0,130000,SUV
Taos,Volkswagen,2023,22000,170000,SUV
Bronco Sport,Ford,2022,30000,230000,SUV
Commander,Jeep,2024,5000,260000,SUV
Fastback,Fiat,2023,12000,140000,SUV
Pulse Abarth,Fiat,2024,3000,150000,SUV
Dolphin,BYD,2024,2000,150000,Hatch
Yuan Plus,BYD,2023,10000,230000,SUV
Tiggo 5x,Caoa Cherry,2024,1000,115000,SUV
Tiggo 8,Caoa Cherry,2022,60000,170000,SUV
Amarok,Volkswagen,2019,110000,190000,Picape
Frontier,Nissan,2021,80000,180000,Picape
L200 Triton,Mitsubishi,2020,90000,175000,Picape
Eclipse Cross,Mitsubishi,2022,35000,160000,SUV
Outlander,Mitsubishi,2019,100000,130000,SUV
Versa,Nissan,2023,18000,95000,Sedan
Sentra,Nissan,2024,4000,170000,Sedan
Cruze,Chevrolet,2019,85000,100000,Sedan
Equinox,Chevrolet,2020,70000,150000,SUV
Sandero,Renault,2020,90000,58000,Hatch
Logan,Renault,2021,75000,65000,Sedan
Oroch,Renault,2023,20000,110000,Picape
Maverick,Ford,2023,10000,220000,Picape
Mustang,Ford,2019,40000,350000,Sedan
BMW 320i,BMW,2020,50000,230000,Sedan
Mercedes-Benz C180,Mercedes-Benz,2019,60000,210000,Sedan
Audi Q3,Audi,2021,40000,240000,SUV
Volvo XC60,Volvo,2020,70000,280000,SUV
Land Rover Discovery,Land Rover,2018,90000,320000,SUV
Porsche Macan,Porsche,2019,50000,400000,SUV
Fiat 500e,Fiat,2023,5000,180000,Hatch
Peugeot e-208 GT,Peugeot,2024,1000,200000,Hatch
Mini Cooper S,Mini,2022,20000,190000,Hatch
JAC E-JS1,JAC,2023,8000,100000,Hatch
Caoa Chery iCar,Caoa Chery,2024,500,120000,Hatch
GWM Haval H6,GWM,2024,3000,210000,SUV
GWM Ora 03,GWM,2024,1000,150000,Hatch
Corolla Cross,Toyota,2023,15000,170000,SUV
RAV4,Toyota,2021,40000,220000,SUV
SW4,Toyota,2020,80000,280000,SUV
Pajero Sport,Mitsubishi,2022,30000,290000,SUV
Jeep Grand Cherokee,Jeep,2019,70000,300000,SUV
Ford Territory,Ford,2023,10000,200000,SUV
Hyundai Tucson,Hyundai,2022,25000,160000,SUV
Kia Sportage,Kia,2021,50000,150000,SUV
Kia Niro,Kia,2024,2000,190000,SUV
Subaru Forester,Subaru,2020,60000,170000,SUV
Subaru XV,Subaru,2021,45000,150000,SUV
Lexus UX250h,Lexus,2022,20000,240000,SUV
Lexus NX350h,Lexus,2023,8000,300000,SUV
BMW X1,BMW,2021,35000,250000,SUV
Mercedes-Benz GLA 200,Mercedes-Benz,2020,45000,220000,SUV
Audi Q5,Audi,2019,70000,280000,SUV
Volvo XC40,Volvo,2023,10000,260000,SUV
Land Rover Evoque,Land Rover,2021,30000,300000,SUV
Porsche Cayenne,Porsche,2020,60000,500000,SUV
RAM 1500,RAM,2022,25000,420000,Picape
RAM 2500,RAM,2021,50000,480000,Picape
Ford F-150,Ford,2023,12000,450000,Picape
Chevrolet Silverado,Chevrolet,2024,1000,500000,Picape
Jetta GLI,Volkswagen,2022,40000,230000,Sedan
Polo GTS,Volkswagen,2023,10000,150000,Hatch
Audi A3,Audi,2022,30000,210000,Sedan
Nivus,Volkswagen,2024,5000,115000,SUV
Pulse,Fiat,2023,15000,100000,Hatch
Uno,Fiat,2020,90000,50000,Hatch
Onix,Chevrolet,2024,2000,98000,Sedan
Tiggo 7,Caoa Cherry,2024,3000,135000,SUV
Song,BYD,2023,12000,190000,SUV
Creta,Hyundai,2022,40000,100000,SUV
HB20,Hyundai,2023,25000,80000,Hatch
Corolla,Toyota,2022,30000,140000,Sedan
Civic,Honda,2023,15000,165000,Sedan
Renegade,Jeep,2021,60000,105000,SUV
Compass,Jeep,2023,20000,175000,SUV
Kwid,Renault,2024,5000,65000,Hatch
Mobi,Fiat,2023,18000,60000,Hatch
Argo,Fiat,2022,40000,78000,Hatch
Strada,Fiat,2023,22000,115000,Picape
Toro,Fiat,2022,50000,130000,Picape
Saveiro,Volkswagen,2022,45000,85000,Picape
Hilux,Toyota,2021,90000,230000,Picape
S10,Chevrolet,2023,30000,220000,Picape
Ranger,Ford,2022,60000,240000,Picape
Tracker,Chevrolet,2024,8000,130000,SUV
Kicks,Nissan,2022,35000,105000,SUV
HR-V,Honda,2021,55000,120000,SUV
Duster,Renault,2023,28000,98000,SUV
T-Cross,Volkswagen,2022,48000,125000,SUV
Virtus,Volkswagen,2023,25000,100000,Sedan
Cronos,Fiat,2024,10000,90000,Sedan
Yaris,Toyota,2023,18000,92000,Hatch
Fit,Honda,2020,80000,80000,Hatch
City,Honda,2022,30000,110000,Sedan
208,Peugeot,2024,3000,88000,Hatch
C4 Cactus,Citroën,2022,38000,90000,SUV
Kardian,Renault,2024,1000,125000,SUV
Taos,Volkswagen,2024,10000,180000,SUV
Bronco Sport,Ford,2023,15000,240000,SUV
Commander,Jeep,2023,18000,250000,SUV
Fastback,Fiat,2024,5000,145000,SUV
Pulse Abarth,Fiat,2023,8000,140000,SUV
Dolphin,BYD,2025,500,148000,Hatch
Yuan Plus,BYD,2024,7000,225000,SUV
Tiggo 5x,Caoa Cherry,2023,12000,110000,SUV
Tiggo 8,Caoa Cherry,2023,25000,175000,SUV
Amarok,Volkswagen,2021,80000,210000,Picape
Frontier,Nissan,2023,20000,200000,Picape
L200 Triton,Mitsubishi,2022,40000,195000,Picape
Eclipse Cross,Mitsubishi,2023,15000,170000,SUV
Outlander,Mitsubishi,2021,70000,150000,SUV
Versa,Nissan,2024,8000,105000,Sedan
Sentra,Nissan,2023,10000,160000,Sedan
Cruze,Chevrolet,2020,75000,105000,Sedan
Equinox,Chevrolet,2022,30000,170000,SUV
Sandero,Renault,2022,40000,62000,Hatch
Logan,Renault,2023,20000,70000,Sedan
Oroch,Renault,2024,10000,115000,Picape
Maverick,Ford,2024,5000,230000,Picape
Mustang,Ford,2021,25000,380000,Sedan
BMW 320i,BMW,2022,20000,250000,Sedan
Mercedes-Benz C180,Mercedes-Benz,2021,35000,230000,Sedan
Audi Q3,Audi,2023,15000,260000,SUV
Volvo XC60,Volvo,2022,30000,300000,SUV
Land Rover Discovery,Land Rover,2020,60000,350000,SUV
Porsche Macan,Porsche,2021,30000,450000,SUV
Fiat 500e,Fiat,2024,2000,175000,Hatch
Peugeot e-208 GT,Peugeot,2023,8000,190000,Hatch
Mini Cooper S,Mini,2023,10000,200000,Hatch
JAC E-JS1,JAC,2024,3000,95000,Hatch
Caoa Chery iCar,Caoa Chery,2023,4000,115000,Hatch
GWM Haval H6,GWM,2023,10000,200000,SUV
GWM Ora 03,GWM,2025,0,155000,Hatch
Corolla Cross,Toyota,2024,8000,180000,SUV
RAV4,Toyota,2022,25000,230000,SUV
SW4,Toyota,2022,40000,300000,SUV
Pajero Sport,Mitsubishi,2023,10000,310000,SUV
Jeep Grand Cherokee,Jeep,2021,50000,320000,SUV
Ford Territory,Ford,2024,5000,210000,SUV
Hyundai Tucson,Hyundai,2023,15000,170000,SUV
Kia Sportage,Kia,2023,20000,170000,SUV
Kia Niro,Kia,2023,9000,180000,SUV
Subaru Forester,Subaru,2022,30000,190000,SUV
Subaru XV,Subaru,2023,15000,165000,SUV
Lexus UX250h,Lexus,2023,10000,250000,SUV
Lexus NX350h,Lexus,2024,3000,310000,SUV
BMW X1,BMW,2023,12000,270000,SUV
Mercedes-Benz GLA 200,Mercedes-Benz,2022,22000,240000,SUV
Audi Q5,Audi,2022,35000,300000,SUV
Volvo XC40,Volvo,2024,5000,275000,SUV
Land Rover Evoque,Land Rover,2022,20000,320000,SUV
Porsche Cayenne,Porsche,2022,25000,550000,SUV
RAM 1500,RAM,2023,15000,430000,Picape
RAM 2500,RAM,2022,30000,490000,Picape
Ford F-150,Ford,2024,8000,460000,Picape
Chevrolet Silverado,Chevrolet,2023,5000,490000,Picape
Jetta GLI,Volkswagen,2021,55000,220000,Sedan
Polo GTS,Volkswagen,2022,25000,140000,Hatch
Audi A3,Audi,2019,70000,180000,Sedan
Nivus,Volkswagen,2021,90000,95000,SUV
Pulse,Fiat,2020,110000,78000,Hatch
Uno,Fiat,2016,180000,40000,Hatch
Onix,Chevrolet,2021,95000,80000,Sedan
Tiggo 7,Caoa Cherry,2021,70000,110000,SUV
Song,BYD,2022,20000,180000,SUV
Creta,Hyundai,2019,100000,85000,SUV
HB20,Hyundai,2020,90000,70000,Hatch
Corolla,Toyota,2018,120000,100000,Sedan
Civic,Honda,2019,110000,120000,Sedan
Renegade,Jeep,2017,130000,80000,SUV
Compass,Jeep,2019,90000,140000,SUV
Kwid,Renault,2021,70000,55000,Hatch